C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 8.4,26.08.2025 23:03:48,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 9.1,26.08.2025 23:03:58,pokla,DWG To PDF.pc3,ISO без полей A4 (210.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 9.2,26.08.2025 23:04:08,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 9.3,26.08.2025 23:04:18,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 10.1,26.08.2025 23:04:28,pokla,DWG To PDF.pc3,ISO без полей A4 (210.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 10.2,26.08.2025 23:04:38,pokla,DWG To PDF.pc3,ISO без полей A4 (210.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 10.3,26.08.2025 23:04:48,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 10.4,26.08.2025 23:04:58,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 11.1,26.08.2025 23:05:08,pokla,DWG To PDF.pc3,ISO без полей A4 (210.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 11.2,26.08.2025 23:05:18,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 11.3,26.08.2025 23:05:28,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
